"Category","Period","Rating","User_Rating","User_Votes","sq","Count"
"Action & Adventure","1911-1950","Not so much !!",0,0,0,2
"Action & Adventure","1911-1950","Popular",0,0,0,0
"Action & Adventure","1951-1960","Not so much !!",85.8,151,2.686466321,14
"Action & Adventure","1951-1960","Popular",143,3459,85.20372492,18
"Action & Adventure","1961-1970","Not so much !!",60.8,125,1.628779002,9
"Action & Adventure","1961-1970","Popular",176.9,10933,180.353878615,22
"Action & Adventure","1971-1980","Not so much !!",63.8,119,1.188117135,11
"Action & Adventure","1971-1980","Popular",195.8,8053,111.005199599,25
"Action & Adventure","1981-1990","Not so much !!",104.1,540,2.203423354,17
"Action & Adventure","1981-1990","Popular",272.7,23949,120.297146,34
"Action & Adventure","1991-2000","Not so much !!",460,7781,7.826197643,64
"Action & Adventure","1991-2000","Popular",292.4,97480,107.68280249,34
"Action & Adventure","2001-2010","Not so much !!",1419.1,37161,13.632439843,192
"Action & Adventure","2001-2010","Popular",373.7,234395,93.766528033,44
"Action & Adventure","2011-2014","Not so much !!",140.6,513,2.006255907,24
"Action & Adventure","2011-2014","Popular",203.4,34809,179.959689489,25
